Student_ID,Branch,Skills,Interest_Area,Preferred_Domain,Complexity,CGPA,Recommended_Project
ST0083,Biotech,"JavaScript, HTML, R, SQL",Blockchain,Industry,Intermediate,6.3,
ST0084,IT,"SQL, Python, JavaScript",Embedded Systems,Research,Beginner,6.17,
ST0085,Chemical,"HTML, Java, R, CAD",Data Science,Academic,Intermediate,8.59,
ST0086,Civil,SQL,Robotics,Academic,Advanced,8.3,
ST0087,IT,"Java, MATLAB, C++, CAD",Web Dev,Academic,Advanced,9.1,
ST0088,Mechanical,"JavaScript, Java, CAD",Web Dev,Research,Intermediate,6.51,
ST0089,AI,"CSS, CAD, HTML, SQL",Robotics,Academic,Intermediate,9.41,
ST0090,ECE,"Python, Java, HTML, C++",Energy Systems,Research,Beginner,7.01,
ST0091,AI,"JavaScript, Java, R, CSS",Data Science,Academic,Advanced,8.64,
ST0092,AI,MATLAB,AI,Research,Beginner,7.44,
ST0093,Civil,JavaScript,Blockchain,Research,Beginner,6.72,
ST0094,ECE,"Java, C++, SQL, Python",Data Science,Industry,Advanced,9.5,
ST0095,Chemical,CAD,Web Dev,Industry,Beginner,8.17,
ST0096,Biotech,"R, C++",Blockchain,Research,Beginner,6.75,
ST0097,Mechanical,"Java, JavaScript, CSS, SQL",IoT,Academic,Intermediate,7.41,
ST0098,Biotech,"CSS, JavaScript, MATLAB",Blockchain,Academic,Intermediate,9.15,
ST0099,CSE,R,Blockchain,Research,Beginner,6.17,
ST0100,Civil,"CAD, R, SQL, MATLAB",Data Science,Industry,Advanced,6.82,
ST0101,AI,"CSS, Java, C++, MATLAB",Energy Systems,Academic,Beginner,7.0,
ST0102,AI,"Python, R",Energy Systems,Industry,Advanced,9.54,
ST0103,CSE,"C++, JavaScript, MATLAB, CSS",IoT,Academic,Intermediate,7.74,
ST0104,Mechanical,JavaScript,Robotics,Research,Advanced,7.46,
ST0105,ECE,"SQL, Java",IoT,Research,Advanced,6.69,
ST0106,AI,"MATLAB, R, CAD, SQL",Data Science,Research,Beginner,6.45,
ST0107,IT,"HTML, CAD",AI,Industry,Beginner,8.86,
ST0108,Mechanical,Python,Energy Systems,Research,Beginner,9.89,
ST0109,Chemical,"CAD, HTML",Embedded Systems,Academic,Intermediate,9.58,
ST0110,EEE,"R, SQL, JavaScript",Blockchain,Academic,Intermediate,9.6,
ST0111,Biotech,"JavaScript, MATLAB, Python",Robotics,Academic,Advanced,9.73,
ST0112,Civil,"Python, SQL, MATLAB, R",Robotics,Industry,Advanced,8.66,
ST0113,AI,"Java, MATLAB, CSS, Python",Web Dev,Academic,Intermediate,6.84,
ST0114,CSE,"SQL, MATLAB",Web Dev,Academic,Beginner,7.99,
ST0115,ECE,"CAD, R, C++, SQL",Data Science,Academic,Beginner,8.65,
ST0116,Biotech,Python,Blockchain,Research,Advanced,9.59,
ST0117,ECE,"HTML, CSS, SQL, JavaScript",Embedded Systems,Academic,Beginner,8.04,
ST0118,AI,"CAD, CSS, C++",Robotics,Research,Intermediate,6.9,
ST0119,EEE,MATLAB,Energy Systems,Industry,Advanced,7.44,
ST0120,IT,HTML,Energy Systems,Academic,Advanced,7.05,
ST0121,IT,CSS,Embedded Systems,Research,Intermediate,9.29,
ST0122,IT,"Java, CAD",Embedded Systems,Industry,Intermediate,7.47,
ST0123,Chemical,"HTML, R, Java, MATLAB",Embedded Systems,Research,Beginner,9.96,
ST0124,AI,"R, Java, HTML, CAD",Robotics,Industry,Intermediate,6.26,
ST0125,EEE,"R, Java, Python, CAD",Energy Systems,Industry,Beginner,7.29,
ST0126,Civil,HTML,Energy Systems,Academic,Advanced,6.73,
ST0127,Civil,"MATLAB, HTML",Robotics,Industry,Beginner,9.69,
ST0128,Mechanical,"CSS, MATLAB, C++, CAD",AI,Industry,Intermediate,9.93,
ST0129,CSE,HTML,Data Science,Research,Intermediate,8.84,
ST0130,IT,JavaScript,Web Dev,Academic,Advanced,7.19,
ST0131,EEE,"JavaScript, HTML",IoT,Research,Intermediate,8.24,
ST0132,ECE,"MATLAB, CSS, Python, HTML",IoT,Academic,Intermediate,8.67,
ST0133,EEE,"R, Python",Web Dev,Research,Advanced,7.25,
ST0134,Mechanical,"MATLAB, R, SQL, C++",IoT,Industry,Beginner,6.24,
ST0135,Biotech,"MATLAB, CAD",Embedded Systems,Research,Intermediate,9.75,
ST0136,IT,"R, C++, SQL, CSS",Blockchain,Academic,Advanced,9.63,
ST0137,EEE,R,Energy Systems,Industry,Beginner,9.18,
ST0138,CSE,"CAD, R, MATLAB",AI,Academic,Intermediate,9.89,
ST0139,IT,SQL,Data Science,Academic,Intermediate,9.04,
ST0140,Mechanical,MATLAB,Web Dev,Research,Advanced,6.53,
ST0141,Mechanical,"MATLAB, R, Java",Robotics,Research,Intermediate,6.9,
ST0142,AI,"SQL, CAD, R",IoT,Research,Beginner,6.83,
ST0143,EEE,"Java, CSS, C++",Blockchain,Academic,Advanced,8.39,
ST0144,EEE,"HTML, MATLAB",Data Science,Academic,Intermediate,8.57,
ST0145,Civil,"JavaScript, R",Web Dev,Industry,Beginner,8.53,
ST0146,Chemical,CSS,Data Science,Industry,Advanced,7.42,
ST0147,Chemical,"C++, CAD, SQL, MATLAB",Data Science,Research,Intermediate,7.08,
ST0148,Civil,Java,Blockchain,Academic,Intermediate,8.76,
ST0149,Chemical,CAD,Web Dev,Research,Advanced,9.59,
ST0150,ECE,"CSS, SQL",Embedded Systems,Academic,Beginner,9.03,
ST0151,Mechanical,"CAD, JavaScript, HTML, Python",Web Dev,Research,Beginner,6.69,
ST0152,Civil,"Python, SQL",Robotics,Industry,Intermediate,8.32,
ST0153,EEE,"HTML, C++, JavaScript",Embedded Systems,Academic,Intermediate,7.76,
ST0154,EEE,"C++, HTML",Robotics,Academic,Advanced,7.27,
ST0155,Biotech,Python,Embedded Systems,Research,Advanced,6.85,
ST0156,EEE,"C++, JavaScript, CSS, MATLAB",Blockchain,Academic,Beginner,8.88,
ST0157,AI,"Python, C++, R, CSS",Energy Systems,Industry,Beginner,8.31,
ST0158,EEE,"MATLAB, C++",AI,Research,Advanced,9.42,
ST0159,Biotech,"CAD, Python, R",Robotics,Academic,Beginner,7.12,
ST0160,EEE,MATLAB,Web Dev,Industry,Beginner,9.65,
ST0161,IT,"Python, C++, CSS",Web Dev,Industry,Beginner,7.29,
ST0162,Biotech,"MATLAB, SQL, C++",Energy Systems,Academic,Intermediate,6.29,
ST0163,Biotech,"JavaScript, C++, SQL",Web Dev,Academic,Advanced,8.81,
ST0164,Chemical,"CAD, CSS, SQL, JavaScript",Embedded Systems,Academic,Advanced,6.13,
ST0165,ECE,"CAD, R, MATLAB, C++",Energy Systems,Research,Advanced,7.52,
ST0166,Biotech,"R, JavaScript, MATLAB, Java",AI,Academic,Advanced,7.97,
ST0167,AI,"Python, C++, CSS, SQL",AI,Academic,Intermediate,6.95,
ST0168,Civil,"CAD, R, HTML, SQL",Web Dev,Academic,Beginner,8.87,
ST0169,Mechanical,MATLAB,Data Science,Academic,Advanced,8.24,
ST0170,IT,"CSS, Java, R",Robotics,Academic,Intermediate,9.09,
ST0171,ECE,"MATLAB, Python, HTML, Java",IoT,Industry,Intermediate,9.64,
ST0172,EEE,R,AI,Research,Beginner,7.13,
ST0173,ECE,"HTML, Python",Embedded Systems,Research,Beginner,9.21,
ST0174,EEE,"SQL, Python, MATLAB, JavaScript",Robotics,Research,Intermediate,7.38,
ST0175,IT,"CSS, HTML",Energy Systems,Academic,Advanced,8.85,
ST0176,Civil,HTML,Robotics,Academic,Beginner,9.54,
ST0177,Civil,"Java, SQL, C++, Python",Data Science,Academic,Advanced,6.46,
ST0178,CSE,"Python, HTML, CAD",AI,Industry,Intermediate,7.58,
ST0179,IT,"R, JavaScript, Python",Embedded Systems,Academic,Intermediate,7.64,
ST0180,Chemical,"HTML, Python, Java",Energy Systems,Research,Intermediate,7.22,
ST0181,Mechanical,"CAD, R",Energy Systems,Research,Beginner,8.96,
ST0182,Civil,"C++, Python",Robotics,Industry,Beginner,6.32,
ST0183,CSE,CSS,Robotics,Industry,Advanced,9.51,
ST0184,EEE,Java,Robotics,Research,Beginner,9.63,
ST0185,AI,"CAD, Java, Python, R",Embedded Systems,Industry,Intermediate,7.69,
ST0186,EEE,"HTML, SQL",Web Dev,Industry,Advanced,6.39,
ST0187,CSE,"HTML, C++, CSS",Blockchain,Research,Intermediate,9.64,
ST0188,IT,"CSS, JavaScript",AI,Industry,Beginner,7.63,
ST0189,Chemical,"CAD, R",Robotics,Academic,Advanced,8.83,
ST0190,AI,"SQL, Python, HTML",Data Science,Research,Beginner,8.81,
ST0191,Chemical,"JavaScript, MATLAB, Python, HTML",Data Science,Research,Beginner,9.76,
ST0192,CSE,"HTML, SQL, Java",Robotics,Research,Beginner,6.67,
ST0193,IT,"C++, JavaScript, HTML, R",AI,Research,Advanced,6.16,
ST0194,ECE,"MATLAB, CSS",Blockchain,Academic,Intermediate,8.49,
ST0195,Chemical,R,Data Science,Research,Intermediate,9.89,
ST0196,Chemical,"SQL, Python, CSS, MATLAB",Data Science,Industry,Beginner,9.3,
ST0197,Civil,"SQL, MATLAB, JavaScript, HTML",IoT,Academic,Beginner,8.36,
ST0198,IT,"Java, MATLAB",Web Dev,Industry,Advanced,7.63,
ST0199,CSE,"CAD, Python, JavaScript",Energy Systems,Industry,Beginner,6.38,
ST0200,ECE,"CAD, Python, CSS, JavaScript",Data Science,Academic,Advanced,7.35,
ST0201,Biotech,"Python, JavaScript, C++",Blockchain,Academic,Beginner,6.22,
ST0202,Mechanical,JavaScript,Robotics,Academic,Beginner,8.05,
ST0203,ECE,"CAD, HTML, R",IoT,Research,Intermediate,6.97,
ST0204,EEE,"CAD, JavaScript, SQL",IoT,Academic,Beginner,6.22,
ST0205,AI,"R, CSS, MATLAB",Robotics,Industry,Intermediate,9.0,
ST0206,Biotech,"MATLAB, Python, Java",Robotics,Industry,Intermediate,6.14,
ST0207,Biotech,"Java, JavaScript, Python, R",Blockchain,Academic,Advanced,6.66,
ST0208,Civil,"Java, JavaScript",Data Science,Research,Advanced,9.07,
ST0209,IT,"Java, SQL",Robotics,Industry,Advanced,9.56,
ST0210,CSE,"Python, SQL, HTML, JavaScript",Web Dev,Academic,Intermediate,7.42,
ST0211,Biotech,"R, MATLAB",Blockchain,Academic,Intermediate,6.39,
ST0212,IT,CAD,AI,Academic,Intermediate,6.63,
ST0213,CSE,"R, MATLAB, CAD",Energy Systems,Industry,Intermediate,7.53,
ST0214,CSE,"MATLAB, CSS, CAD",Embedded Systems,Academic,Advanced,9.15,
ST0215,ECE,SQL,Blockchain,Academic,Advanced,8.64,
ST0216,Chemical,SQL,Embedded Systems,Industry,Intermediate,7.93,
ST0217,Civil,"CSS, CAD",Energy Systems,Industry,Intermediate,8.68,
ST0218,Chemical,"HTML, SQL, Python",Web Dev,Research,Beginner,7.04,
ST0219,CSE,MATLAB,Energy Systems,Industry,Advanced,9.43,
ST0220,EEE,"SQL, CSS, JavaScript",Energy Systems,Academic,Intermediate,7.79,
ST0221,Mechanical,"JavaScript, MATLAB",AI,Industry,Advanced,7.53,
ST0222,CSE,"MATLAB, C++",AI,Academic,Intermediate,7.64,
ST0223,Mechanical,R,Web Dev,Academic,Beginner,8.98,
ST0224,CSE,JavaScript,Energy Systems,Research,Beginner,9.25,
ST0225,CSE,HTML,Embedded Systems,Research,Beginner,8.09,
ST0226,CSE,"Python, R",Blockchain,Academic,Advanced,7.58,
ST0227,AI,"MATLAB, CAD, HTML, SQL",Data Science,Academic,Intermediate,7.13,
ST0228,CSE,"SQL, HTML",Data Science,Academic,Advanced,8.51,
ST0229,EEE,"Python, CSS, JavaScript",IoT,Research,Intermediate,9.57,
ST0230,AI,R,AI,Research,Advanced,7.96,
ST0231,Civil,CSS,Energy Systems,Research,Advanced,9.62,
ST0232,ECE,"Python, CAD",Blockchain,Research,Beginner,6.11,
ST0233,Civil,"MATLAB, JavaScript, R, CAD",Energy Systems,Research,Beginner,9.55,
ST0234,Civil,"CSS, MATLAB",Blockchain,Research,Intermediate,9.69,
ST0235,ECE,"JavaScript, C++, Python, R",Energy Systems,Industry,Beginner,7.89,
ST0236,IT,CAD,IoT,Academic,Advanced,8.16,
ST0237,CSE,"SQL, C++",Data Science,Industry,Intermediate,8.95,
ST0238,Chemical,Python,Data Science,Academic,Beginner,7.69,
ST0239,Civil,Python,Blockchain,Research,Advanced,6.71,
ST0240,EEE,HTML,IoT,Industry,Advanced,9.4,
ST0241,CSE,"SQL, MATLAB",Web Dev,Academic,Advanced,6.46,
ST0242,ECE,HTML,Embedded Systems,Industry,Intermediate,9.96,
ST0243,ECE,CSS,Energy Systems,Academic,Advanced,9.33,
ST0244,AI,"Python, JavaScript, HTML, Java",Embedded Systems,Industry,Advanced,6.12,
ST0245,AI,"Python, SQL, JavaScript",Blockchain,Academic,Intermediate,7.7,
ST0246,Civil,"R, MATLAB, C++",Embedded Systems,Academic,Beginner,9.62,
ST0247,Biotech,"HTML, SQL, MATLAB",Robotics,Academic,Advanced,6.12,
ST0248,Mechanical,"C++, SQL, HTML, Python",AI,Academic,Intermediate,7.97,
ST0249,Biotech,Java,IoT,Research,Intermediate,9.88,
ST0250,Biotech,"HTML, MATLAB",Blockchain,Academic,Intermediate,9.11,
ST0251,CSE,"JavaScript, SQL",Blockchain,Academic,Advanced,7.69,
ST0252,IT,"CSS, HTML",Energy Systems,Industry,Intermediate,9.53,
ST0253,ECE,CSS,IoT,Academic,Advanced,6.71,
ST0254,IT,"CAD, SQL, Python",Robotics,Industry,Beginner,9.26,
ST0255,Chemical,"JavaScript, CSS",Web Dev,Academic,Beginner,7.42,
ST0256,Civil,"MATLAB, Java, SQL, Python",Embedded Systems,Research,Intermediate,8.1,
ST0257,Mechanical,"SQL, Python, CSS, CAD",Blockchain,Academic,Beginner,7.61,
ST0258,ECE,"HTML, C++",Energy Systems,Industry,Advanced,6.45,
ST0259,AI,SQL,Robotics,Research,Beginner,9.62,
ST0260,CSE,"CAD, SQL, R",Data Science,Research,Beginner,6.71,
ST0261,EEE,"MATLAB, C++, Java, R",Web Dev,Industry,Beginner,6.32,
ST0262,EEE,"MATLAB, CSS, CAD, HTML",Web Dev,Academic,Advanced,7.42,
ST0263,CSE,SQL,Data Science,Academic,Beginner,7.17,
ST0264,EEE,"R, Java, JavaScript",Robotics,Industry,Beginner,7.53,
ST0265,Civil,Python,Embedded Systems,Industry,Beginner,8.24,
ST0266,EEE,"HTML, Java",Blockchain,Industry,Advanced,7.26,
ST0267,IT,HTML,Energy Systems,Industry,Intermediate,9.73,
ST0268,CSE,Python,Energy Systems,Industry,Beginner,7.75,
ST0269,AI,"R, HTML",Blockchain,Research,Advanced,8.95,
ST0270,IT,"CAD, R, JavaScript",Data Science,Research,Advanced,6.86,
ST0271,AI,"C++, JavaScript",Robotics,Research,Advanced,7.49,
ST0272,Civil,JavaScript,AI,Academic,Intermediate,8.18,
ST0273,ECE,"Java, R",AI,Industry,Beginner,6.02,
ST0274,ECE,"MATLAB, C++",Web Dev,Industry,Intermediate,7.88,
ST0275,Mechanical,"HTML, Java, C++",Data Science,Academic,Advanced,9.7,
ST0276,Biotech,"CSS, Java",AI,Industry,Beginner,8.28,
ST0277,CSE,"JavaScript, SQL, CAD",Embedded Systems,Industry,Advanced,9.98,
ST0278,AI,"Python, CAD, HTML, CSS",IoT,Industry,Beginner,6.4,
ST0279,Chemical,"MATLAB, Java",Web Dev,Research,Intermediate,6.35,
ST0280,CSE,"CAD, SQL",Data Science,Academic,Intermediate,6.47,
ST0281,EEE,"JavaScript, HTML",Web Dev,Research,Advanced,9.78,
ST0282,Mechanical,"R, CSS",Energy Systems,Research,Beginner,8.29,
ST0283,IT,"MATLAB, CSS, HTML, SQL",IoT,Research,Beginner,7.51,
ST0284,EEE,CSS,Embedded Systems,Industry,Intermediate,7.99,
ST0285,Chemical,"C++, SQL, Python",Energy Systems,Industry,Advanced,6.94,
ST0286,Chemical,"Java, CSS, Python, C++",IoT,Industry,Intermediate,6.69,
ST0287,ECE,"JavaScript, SQL",Embedded Systems,Industry,Beginner,6.96,
ST0288,ECE,"CSS, SQL, JavaScript",Embedded Systems,Academic,Intermediate,8.74,
ST0289,EEE,"JavaScript, CAD, CSS",Data Science,Academic,Advanced,8.13,
ST0290,Civil,"JavaScript, SQL, CAD, MATLAB",Blockchain,Industry,Intermediate,6.68,
ST0291,Chemical,"CAD, JavaScript",Blockchain,Industry,Beginner,6.8,
ST0292,AI,SQL,AI,Academic,Beginner,6.81,
ST0293,Mechanical,"Java, HTML, Python",Energy Systems,Industry,Beginner,9.08,
ST0294,IT,"SQL, MATLAB",Embedded Systems,Academic,Intermediate,7.84,
ST0295,Civil,"SQL, CSS, MATLAB, JavaScript",Web Dev,Research,Advanced,9.09,
ST0296,EEE,"C++, SQL",IoT,Academic,Intermediate,7.19,
ST0297,CSE,"CAD, JavaScript, HTML",Web Dev,Industry,Beginner,7.37,
ST0298,Biotech,"CSS, R, Python",AI,Academic,Beginner,6.27,
ST0299,Civil,Java,Embedded Systems,Industry,Intermediate,6.1,
ST0300,EEE,R,Embedded Systems,Industry,Advanced,7.53,
ST0301,Biotech,"R, Python",Blockchain,Industry,Beginner,8.74,
ST0302,Mechanical,"HTML, Java",IoT,Industry,Advanced,9.38,
ST0303,CSE,"CAD, Python, Java, HTML",AI,Industry,Intermediate,6.62,
ST0304,AI,"CSS, Java, SQL, C++",Blockchain,Industry,Beginner,6.04,
ST0305,Biotech,"Python, C++",IoT,Academic,Intermediate,7.23,
ST0306,Mechanical,"C++, Java, SQL",Data Science,Academic,Advanced,7.31,
ST0307,Civil,"SQL, HTML, MATLAB",AI,Industry,Intermediate,6.02,
ST0308,EEE,"HTML, SQL, MATLAB, JavaScript",Energy Systems,Academic,Intermediate,6.76,
ST0309,Chemical,CSS,Web Dev,Academic,Advanced,7.25,
ST0310,CSE,"MATLAB, HTML, R",Web Dev,Industry,Advanced,8.65,
ST0311,AI,SQL,Energy Systems,Research,Intermediate,8.43,
ST0312,Chemical,"CSS, C++, CAD",AI,Industry,Intermediate,7.9,
ST0313,AI,"SQL, Python, C++, MATLAB",Robotics,Academic,Beginner,8.11,
ST0314,Chemical,Java,Robotics,Research,Beginner,6.18,
ST0315,Chemical,"R, JavaScript, HTML",IoT,Academic,Intermediate,8.15,
ST0316,AI,"SQL, CSS, Python, R",IoT,Research,Advanced,7.92,
ST0317,EEE,"JavaScript, CAD, HTML",Web Dev,Industry,Beginner,8.09,
ST0318,AI,CAD,Blockchain,Academic,Beginner,7.31,
ST0319,AI,"Java, CAD",IoT,Research,Advanced,7.71,
ST0320,IT,R,Data Science,Research,Advanced,7.12,
ST0321,EEE,"C++, SQL",Blockchain,Research,Intermediate,6.5,
ST0322,Civil,"R, Python, HTML, MATLAB",Robotics,Research,Beginner,6.21,
ST0323,Mechanical,SQL,Web Dev,Research,Beginner,9.94,
ST0324,Biotech,"CAD, R, HTML, SQL",IoT,Research,Advanced,8.04,
ST0325,ECE,CSS,Energy Systems,Academic,Intermediate,7.93,
ST0326,IT,"R, MATLAB, C++",IoT,Research,Intermediate,7.97,
ST0327,Chemical,"MATLAB, CAD, Python",Data Science,Industry,Intermediate,7.53,
ST0328,EEE,"SQL, JavaScript",Data Science,Academic,Advanced,7.07,
ST0329,Mechanical,"R, Python, CAD, CSS",AI,Academic,Beginner,6.83,
ST0330,Chemical,"CAD, HTML",AI,Research,Intermediate,9.07,
ST0331,ECE,"CSS, JavaScript, R",Web Dev,Research,Advanced,8.09,
ST0332,AI,"MATLAB, CAD",Blockchain,Research,Beginner,6.06,
ST0333,ECE,"CAD, Java, HTML, R",IoT,Industry,Intermediate,8.09,
ST0334,IT,"C++, Python, MATLAB, CAD",AI,Academic,Beginner,6.76,
ST0335,ECE,"HTML, R, CAD",Embedded Systems,Research,Advanced,8.57,
ST0336,AI,Java,Data Science,Industry,Advanced,7.89,
ST0337,AI,"Python, Java",Energy Systems,Research,Advanced,8.13,
ST0338,Civil,MATLAB,Robotics,Research,Intermediate,6.28,
ST0339,Mechanical,JavaScript,Embedded Systems,Industry,Intermediate,7.43,
ST0340,Biotech,"C++, JavaScript, MATLAB, Java",IoT,Academic,Advanced,7.26,
ST0341,EEE,CSS,AI,Research,Beginner,7.02,
ST0342,IT,"CSS, HTML",Robotics,Academic,Beginner,7.59,
ST0343,Civil,MATLAB,Data Science,Research,Advanced,6.18,
ST0344,ECE,"Python, CAD",Data Science,Research,Beginner,8.01,
ST0345,Mechanical,SQL,Blockchain,Research,Beginner,7.47,
ST0346,Biotech,Java,Robotics,Industry,Advanced,9.26,
ST0347,EEE,"Python, HTML, JavaScript",Data Science,Industry,Advanced,9.46,
ST0348,AI,CSS,Web Dev,Industry,Advanced,9.05,
ST0349,Biotech,"JavaScript, CSS, C++",IoT,Research,Beginner,9.92,
ST0350,Biotech,"HTML, JavaScript, CSS, R",IoT,Research,Intermediate,7.74,
ST0351,Chemical,"Python, Java, CAD",Robotics,Research,Intermediate,8.32,
ST0352,Chemical,"MATLAB, SQL, R",Web Dev,Academic,Beginner,6.38,
ST0353,Mechanical,C++,Blockchain,Industry,Intermediate,8.22,
