Project Name,Description,Skills Required,Difficulty Level,Category,Resources,Student_ID,Branch,Interest_Area,Preferred_Domain,CGPA
Weather App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","HTML, CSS, JavaScript",Beginner,Web Development,https://nltk.org/,STU00017,ECE,Web Development,Data Structures,7.22
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Beginner,Software Development,https://www.geeksforgeeks.org/,STU00018,ECE,IoT,System Design,8.1
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Advanced,Machine Learning,https://www.geeksforgeeks.org/,STU00019,EEE,IoT,AI/ML,7.73
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,System Design,https://nltk.org/,STU00020,CSE,Blockchain,Deep Learning,7.16
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, Tkinter, Algorithms",Beginner,AI/ML,https://www.tensorflow.org/,STU00021,CE,Web Development,Web Development,8.45
Weather App,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,System Design,https://www.tensorflow.org/,STU00022,ME,Data Science,Web Development,6.56
Personal Portfolio Website,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Beginner,AI/ML,https://nltk.org/,STU00023,ECE,AI/ML,System Design,7.17
Sorting Visualizer,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Java, MySQL",Beginner,AI/ML,https://www.tensorflow.org/,STU00024,CSE,Game Development,Deep Learning,7.47
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Intermediate,Data Structures,https://www.tensorflow.org/,STU00025,EEE,IoT,Deep Learning,7.82
Banking System Simulation,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, Tkinter, Algorithms",Beginner,Web Development,https://freecodecamp.org/,STU00026,IT,Game Development,AI/ML,9.14
Library Management System,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Advanced,Game Development,https://www.tensorflow.org/,STU00027,ECE,Data Science,System Design,6.8
Library Management System,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Advanced,Game Development,https://nltk.org/,STU00028,EEE,IoT,System Design,8.06
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Algorithms",Beginner,Web Development,https://nltk.org/,STU00029,ME,Game Development,Game Development,8.37
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Beginner,AI/ML,https://docs.djangoproject.com/,STU00030,CE,Data Science,System Design,6.19
E-commerce App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, pandas, sklearn",Advanced,AI/ML,https://openweathermap.org/,STU00031,ECE,AI/ML,Web Development,8.43
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Advanced,AI/ML,https://openweathermap.org/,STU00032,ECE,Data Science,AI/ML,6.68
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Advanced,Machine Learning,https://www.geeksforgeeks.org/,STU00033,ME,Blockchain,Deep Learning,6.26
Chatbot,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Beginner,Software Development,https://docs.djangoproject.com/,STU00034,IT,IoT,System Design,9.8
Personal Portfolio Website,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, TensorFlow, Keras",Advanced,Data Structures,https://freecodecamp.org/,STU00035,CSE,Web Development,AI/ML,9.86
Movie Recommendation System,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Java, MySQL",Advanced,Deep Learning,https://openweathermap.org/,STU00036,CE,AI/ML,System Design,9.23
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, TensorFlow, Keras",Advanced,Machine Learning,https://freecodecamp.org/,STU00037,ECE,Game Development,Deep Learning,7.22
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Advanced,Game Development,https://openweathermap.org/,STU00038,CE,IoT,Data Structures,6.39
Personal Portfolio Website,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, pandas, sklearn",Beginner,Deep Learning,https://freecodecamp.org/,STU00039,ECE,Web Development,Deep Learning,8.74
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Advanced,AI/ML,https://openweathermap.org/,STU00040,CE,Data Science,Deep Learning,7.76
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, NLP, NLTK",Intermediate,Game Development,https://nltk.org/,STU00041,EEE,Web Development,Deep Learning,6.49
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Beginner,Game Development,https://freecodecamp.org/,STU00042,ECE,IoT,System Design,7.98
Weather App,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Advanced,Deep Learning,https://www.tensorflow.org/,STU00043,CE,IoT,Game Development,6.14
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Advanced,Software Development,https://docs.djangoproject.com/,STU00044,CSE,Blockchain,Deep Learning,9.64
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Intermediate,Machine Learning,https://www.geeksforgeeks.org/,STU00045,EEE,Blockchain,Web Development,7.04
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Java, MySQL",Advanced,Machine Learning,https://www.geeksforgeeks.org/,STU00046,EEE,Web Development,Web Development,8.65
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Intermediate,Data Structures,https://nltk.org/,STU00047,CSE,Data Science,AI/ML,7.25
Tic-Tac-Toe Game,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Intermediate,System Design,https://docs.djangoproject.com/,STU00048,CE,Web Development,Game Development,8.08
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,Data Structures,https://nltk.org/,STU00049,ME,IoT,AI/ML,8.19
Library Management System,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Beginner,Data Structures,https://www.tensorflow.org/,STU00050,CSE,IoT,Web Development,6.74
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, pandas, sklearn",Beginner,Software Development,https://kaggle.com/,STU00051,CE,Game Development,Web Development,9.88
Weather App,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Beginner,Software Development,https://docs.djangoproject.com/,STU00052,CSE,Blockchain,Data Structures,9.1
Personal Portfolio Website,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","HTML, CSS, JavaScript",Advanced,Data Structures,https://nltk.org/,STU00053,CSE,Game Development,Deep Learning,9.76
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, NLP, NLTK",Advanced,System Design,https://openweathermap.org/,STU00054,ECE,AI/ML,Web Development,9.58
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,Data Structures,https://docs.djangoproject.com/,STU00055,CE,IoT,System Design,8.39
Movie Recommendation System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, TensorFlow, Keras",Advanced,Machine Learning,https://openweathermap.org/,STU00056,ME,Game Development,System Design,9.69
Image Classifier,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, NLP, NLTK",Beginner,Machine Learning,https://docs.djangoproject.com/,STU00057,ECE,Web Development,AI/ML,6.35
Library Management System,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,Machine Learning,https://openweathermap.org/,STU00058,CSE,Blockchain,AI/ML,6.78
Library Management System,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Beginner,Deep Learning,https://nltk.org/,STU00059,IT,Blockchain,Deep Learning,6.18
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Intermediate,Deep Learning,https://openweathermap.org/,STU00060,CSE,Data Science,Deep Learning,7.3
Sorting Visualizer,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","HTML, CSS, JavaScript",Advanced,System Design,https://www.tensorflow.org/,STU00061,CSE,Web Development,Data Structures,7.55
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Advanced,Data Structures,https://docs.djangoproject.com/,STU00062,CE,Data Science,Game Development,7.09
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Beginner,AI/ML,https://kaggle.com/,STU00063,CE,Game Development,AI/ML,9.31
E-commerce App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, NLP, NLTK",Intermediate,System Design,https://www.tensorflow.org/,STU00064,ECE,AI/ML,Deep Learning,7.43
Tic-Tac-Toe Game,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Django, Python, SQLite",Advanced,Deep Learning,https://openweathermap.org/,STU00065,ME,Web Development,AI/ML,7.12
Library Management System,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Intermediate,Deep Learning,https://openweathermap.org/,STU00066,ECE,Web Development,Deep Learning,8.17
Personal Portfolio Website,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Beginner,Machine Learning,https://nltk.org/,STU00067,EEE,Web Development,Web Development,6.56
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,Game Development,https://www.tensorflow.org/,STU00068,CSE,Data Science,AI/ML,9.21
Sorting Visualizer,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","HTML, CSS, JavaScript",Advanced,AI/ML,https://www.geeksforgeeks.org/,STU00069,IT,Game Development,Web Development,6.3
E-commerce App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Beginner,AI/ML,https://freecodecamp.org/,STU00070,CSE,Web Development,AI/ML,9.95
Movie Recommendation System,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, TensorFlow, Keras",Beginner,Software Development,https://kaggle.com/,STU00071,CSE,Web Development,Game Development,9.09
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Advanced,Deep Learning,https://www.tensorflow.org/,STU00072,ECE,Blockchain,Data Structures,6.79
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","HTML, CSS, JavaScript",Intermediate,Deep Learning,https://freecodecamp.org/,STU00073,IT,AI/ML,System Design,6.02
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Beginner,Data Structures,https://freecodecamp.org/,STU00074,IT,Blockchain,System Design,9.26
Chatbot,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Advanced,Game Development,https://kaggle.com/,STU00075,IT,Blockchain,System Design,8.83
Library Management System,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Advanced,AI/ML,https://www.geeksforgeeks.org/,STU00076,ECE,AI/ML,Web Development,8.92
Movie Recommendation System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, Tkinter, Algorithms",Intermediate,AI/ML,https://docs.djangoproject.com/,STU00077,CSE,Game Development,Deep Learning,9.09
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,Game Development,https://docs.djangoproject.com/,STU00078,ECE,Blockchain,System Design,6.3
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Java, MySQL",Advanced,Web Development,https://docs.djangoproject.com/,STU00079,CE,Game Development,Game Development,7.43
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,Machine Learning,https://www.tensorflow.org/,STU00080,CE,Blockchain,System Design,6.46
Weather App,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Intermediate,System Design,https://www.tensorflow.org/,STU00081,ECE,IoT,AI/ML,9.45
Chatbot,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, NLP, NLTK",Intermediate,Machine Learning,https://www.geeksforgeeks.org/,STU00082,IT,AI/ML,Web Development,8.49
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Advanced,AI/ML,https://docs.djangoproject.com/,STU00083,CSE,Blockchain,AI/ML,7.32
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Advanced,Web Development,https://www.tensorflow.org/,STU00084,ECE,IoT,AI/ML,6.25
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Intermediate,Machine Learning,https://www.geeksforgeeks.org/,STU00085,ECE,Data Science,AI/ML,7.24
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,Machine Learning,https://freecodecamp.org/,STU00086,ECE,IoT,Data Structures,7.3
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, TensorFlow, Keras",Beginner,System Design,https://freecodecamp.org/,STU00087,EEE,Web Development,Data Structures,8.92
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,Deep Learning,https://kaggle.com/,STU00088,CE,Blockchain,Deep Learning,8.55
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Beginner,Data Structures,https://openweathermap.org/,STU00089,IT,IoT,Web Development,9.55
Personal Portfolio Website,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Intermediate,Machine Learning,https://freecodecamp.org/,STU00090,ME,Game Development,Game Development,7.89
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Advanced,AI/ML,https://docs.djangoproject.com/,STU00091,IT,Data Science,Game Development,6.48
Chatbot,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,Software Development,https://openweathermap.org/,STU00092,ME,Blockchain,Game Development,8.85
Banking System Simulation,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Data Structures",Beginner,Web Development,https://www.geeksforgeeks.org/,STU00093,EEE,Web Development,AI/ML,9.04
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,System Design,https://docs.djangoproject.com/,STU00094,ECE,IoT,Data Structures,8.25
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Beginner,Game Development,https://www.geeksforgeeks.org/,STU00095,EEE,Data Science,Web Development,9.08
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Intermediate,AI/ML,https://openweathermap.org/,STU00096,EEE,Blockchain,AI/ML,7.98
Library Management System,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,Game Development,https://nltk.org/,STU00097,CSE,Data Science,Data Structures,8.09
Banking System Simulation,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Beginner,AI/ML,https://www.geeksforgeeks.org/,STU00098,CE,Web Development,Data Structures,7.71
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Advanced,Machine Learning,https://docs.djangoproject.com/,STU00099,ME,IoT,System Design,6.1
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Beginner,Software Development,https://freecodecamp.org/,STU00100,ECE,Data Science,System Design,6.43
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Beginner,Machine Learning,https://openweathermap.org/,STU00101,ME,Data Science,Web Development,6.13
E-commerce App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Django, Python, SQLite",Beginner,AI/ML,https://docs.djangoproject.com/,STU00102,IT,AI/ML,Web Development,8.55
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Beginner,Game Development,https://openweathermap.org/,STU00103,ME,Data Science,Web Development,7.26
Weather App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Django, Python, SQLite",Beginner,Machine Learning,https://freecodecamp.org/,STU00104,IT,AI/ML,AI/ML,8.03
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Intermediate,Software Development,https://docs.djangoproject.com/,STU00105,CE,IoT,Deep Learning,9.63
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,Game Development,https://kaggle.com/,STU00106,IT,Blockchain,Web Development,7.0
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,Data Structures,https://www.tensorflow.org/,STU00107,ME,Blockchain,System Design,7.64
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Beginner,AI/ML,https://kaggle.com/,STU00108,ME,IoT,Deep Learning,9.02
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Beginner,Web Development,https://openweathermap.org/,STU00109,IT,IoT,AI/ML,6.92
Image Classifier,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Django, Python, SQLite",Beginner,System Design,https://www.tensorflow.org/,STU00110,EEE,Game Development,Deep Learning,6.31
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Advanced,System Design,https://www.geeksforgeeks.org/,STU00111,CE,IoT,Game Development,7.16
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Beginner,AI/ML,https://openweathermap.org/,STU00112,CSE,Data Science,Deep Learning,6.64
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Beginner,AI/ML,https://docs.djangoproject.com/,STU00113,ECE,Blockchain,Web Development,9.72
Banking System Simulation,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, API, Flask",Intermediate,Machine Learning,https://www.tensorflow.org/,STU00114,ME,Web Development,AI/ML,9.23
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Advanced,Deep Learning,https://nltk.org/,STU00115,ECE,Blockchain,Web Development,8.53
Movie Recommendation System,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Django, Python, SQLite",Beginner,Software Development,https://www.tensorflow.org/,STU00116,CSE,AI/ML,System Design,9.49
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,Deep Learning,https://docs.djangoproject.com/,STU00117,ECE,Blockchain,Game Development,9.21
E-commerce App,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, API, Flask",Beginner,Data Structures,https://nltk.org/,STU00118,CSE,Game Development,System Design,6.75
Weather App,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Intermediate,Machine Learning,https://kaggle.com/,STU00119,IT,IoT,Web Development,9.57
